work_year,experience_level,job_title,salary_in_usd
2025,SE,Data Product Owner,170000
2025,SE,Data Product Owner,110000
2025,SE,Data Product Owner,170000
2025,SE,Data Product Owner,110000
2025,SE,Engineer,143000
2025,SE,Engineer,106000
2025,SE,Manager,360200
2025,SE,Manager,239700
2025,EN,Data Scientist,62484
2025,EN,Data Scientist,52054
2025,SE,Data Scientist,234000
2025,SE,Data Scientist,146000
2025,SE,Data Scientist,86000
2025,SE,Data Scientist,80000
2025,EN,Data Scientist,126000
2025,EN,Data Scientist,68700
2025,SE,AI Architect,228300
2025,SE,AI Architect,105200
2025,SE,Data Engineer,216000
2025,SE,Data Engineer,135000
2025,SE,Engineer,216000
2025,SE,Engineer,135000
2025,MI,Engineer,179000
2025,MI,Engineer,112000
2025,SE,Engineer,282000
2025,SE,Engineer,176000
2025,SE,Engineer,234000
2025,SE,Engineer,146000
2025,EN,AI Engineer,124805
2025,EN,AI Engineer,83203
2025,SE,Research Engineer,145000
2025,SE,Research Engineer,98200
2025,SE,Research Engineer,185000
2025,SE,Research Engineer,111200
2025,SE,Data Analyst,75789
2025,SE,Data Analyst,55528
2025,SE,Data Analyst,219200
2025,SE,Data Analyst,103800
2025,EN,Data Analyst,90000
2025,EN,Data Analyst,60000
2025,SE,Research Engineer,147600
2025,SE,Research Engineer,88600
2025,MI,Business Intelligence Developer,107309
2025,MI,Business Intelligence Developer,85839
2025,MI,Data Manager,41334
2025,MI,Data Manager,39325
2025,MI,Data Management Specialist,102000
2025,MI,Data Management Specialist,68000
2025,SE,Quantitative Developer,285000
2025,SE,Quantitative Developer,155000
2025,MI,Manager,136200
2025,MI,Manager,81000
2025,SE,Software Engineer,294000
2025,SE,Software Engineer,137600
2025,SE,Technical Lead,175000
2025,SE,Technical Lead,150000
2025,SE,Software Engineer,253000
2025,SE,Software Engineer,135800
2025,EN,Sales Development Representative,70000
2025,EN,Sales Development Representative,50000
2025,SE,Consultant,211000
2025,SE,Consultant,142000
2025,EN,Analyst,70000
2025,EN,Analyst,65000
2025,SE,System Engineer,147600
2025,SE,System Engineer,88600
2025,MI,AI Engineer,188500
2025,MI,AI Engineer,165100
2025,SE,Data Scientist,169000
2025,SE,Data Scientist,105000
2025,SE,Data Scientist,218500
2025,SE,Data Scientist,161500
2025,MI,Data Scientist,146800
2025,MI,Data Scientist,115600
2025,SE,Product Manager,224000
2025,SE,Product Manager,143000
2025,MI,AI Engineer,51789
2025,MI,AI Engineer,48000
2025,SE,AI Engineer,56842
2025,SE,AI Engineer,50526
2025,SE,Software Engineer,74526
2025,SE,Software Engineer,63157
2025,SE,Software Engineer,183580
2025,SE,Software Engineer,111260
2025,SE,Data Analyst,121000
2025,SE,Data Analyst,103000
2025,EN,Data Analyst,31645
2025,EN,Data Analyst,31645
2025,EN,Data Analyst,124000
2025,EN,Data Analyst,86800
2025,SE,Data Analyst,120000
2025,SE,Data Analyst,90000
2025,SE,Analytics Engineer,154688
2025,SE,Analytics Engineer,103125
2025,SE,Solution Architect,263900
2025,SE,Solution Architect,195100
2025,MI,Associate,87516
2025,MI,Associate,45360
2025,MI,Encounter Data Management Professional,88600
2025,MI,Encounter Data Management Professional,65000
2025,SE,Encounter Data Management Professional,107800
2025,SE,Encounter Data Management Professional,78400
2025,MI,Associate,161700
2025,MI,Associate,117600
2025,MI,Manager,161456
2025,MI,Manager,76075
2025,SE,Data Infrastructure Engineer,101052
2025,SE,Data Infrastructure Engineer,63157
2025,SE,Data Architect,224381
2025,SE,Data Architect,149587
2025,MI,Data Scientist,179000
2025,MI,Data Scientist,112000
2025,SE,Data Scientist,130590
2025,SE,Data Scientist,114210
2025,MI,Data Scientist,209657
2025,MI,Data Scientist,106250
2025,MI,Data Analyst,97100
2025,MI,Data Analyst,54000
2025,SE,Data Analyst,121300
2025,SE,Data Analyst,67400
2025,SE,Data Analyst,136000
2025,SE,Data Analyst,86000
2025,SE,Data Team Lead,173900
2025,SE,Data Team Lead,82300
2025,SE,Data Team Lead,173900
2025,SE,Data Team Lead,82300
2025,SE,Data Team Lead,173900
2025,SE,Data Team Lead,82300
2025,SE,Engineer,209657
2025,SE,Engineer,106250
2025,EN,Consultant,21221
2025,EN,Consultant,18947
2025,SE,Engineer,190000
2025,SE,Engineer,145000
2025,SE,Business Intelligence Lead,161700
2025,SE,Business Intelligence Lead,117600
2025,SE,AI Architect,265600
2025,SE,AI Architect,159400
2025,SE,Data Architect,235000
2025,SE,Data Architect,157000
2025,SE,DevOps Engineer,199400
2025,SE,DevOps Engineer,119600
2025,MI,Decision Scientist,158620
2025,MI,Decision Scientist,79310
2025,SE,Manager,188267
2025,SE,Manager,141200
2025,SE,Machine Learning Engineer,196100
2025,SE,Machine Learning Engineer,144900
2025,EN,Machine Learning Engineer,173040
2025,EN,Machine Learning Engineer,86520
2025,SE,Machine Learning Engineer,194740
2025,SE,Machine Learning Engineer,104860
2025,SE,Architect,219400
2025,SE,Architect,131600
2025,MI,Data Scientist,112500
2025,MI,Data Scientist,67500
2025,EX,Data Engineer,223900
2025,EX,Data Engineer,135700
2025,MI,Data Engineer,250600
2025,MI,Data Engineer,167000
2025,MI,Data Engineer,165360
2025,MI,Data Engineer,110240
2025,SE,Software Engineer,200000
2025,SE,Software Engineer,158000
2025,SE,Data Visualization Engineer,142700
2025,SE,Data Visualization Engineer,114200
2025,MI,Applied Scientist,223400
2025,MI,Applied Scientist,136000
2025,MI,Applied Scientist,223400
2025,MI,Applied Scientist,136000
2025,SE,Applied Scientist,260000
2025,SE,Applied Scientist,150400
2025,SE,Software Engineer,264000
2025,SE,Software Engineer,176000
2025,SE,Data Infrastructure Engineer,240000
2025,SE,Data Infrastructure Engineer,160000
2025,SE,Machine Learning Engineer,241000
2025,SE,Machine Learning Engineer,161000
2025,SE,Data Governance Analyst,160000
2025,SE,Data Governance Analyst,130000
2025,EX,Data Governance,213390
2025,EX,Data Governance,143245
2025,MI,Engineer,220000
2025,MI,Engineer,140000
2025,SE,Data Quality Analyst,140049
2025,SE,Data Quality Analyst,84878
2025,EN,Software Engineer,174600
2025,EN,Software Engineer,81900
2025,EN,Data Analyst,74755
2025,EN,Data Analyst,48235
